id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
1595,178972,,Alex Manente,,,55,Alex Spinelli Manente,Bacharel Em Direito,,
1596,178973,,Ana Perugini,,,55,Ana Lucia Lippaus Perugini,Advogada,,
1597,178974,,Andres Sanchez,,,55,Andres Navarro Sanchez,Administrador,,
1598,178975,,Baleia Rossi,,,55,Luiz Felipe Baleia Tenuto Rossi,Empresário,,
1599,178976,,Bruno Covas,,,55,Bruno Covas Lopes,"Advogado(a),economista",,
1600,178977,,Eduardo Cury,,,55,Eduardo Pedrosa Cury,Engenheiro Mecânico,,
1601,178978,,Flavinho,,,55,Flavio Augusto da Silva,"Apresentador de Televisão,cantor,compositor,empresário,escritor,locutor",,
1602,178979,,,"Arquivo 7, p. 4",,,Antonio Floriano Pereira Pesaro,,,
1603,178980,,Goulart,,,55,Antonio Goulart Dos Reis,Empresário,,
1604,178981,,Herculano Passos,,,55,Herculano Castilho Passos Junior,Empresário,,
1605,178982,,Luiz Lauro Filho,,,55,Luiz Lauro Ferreira Filho,Publicitário,,
1606,178983,,Marcio Alvino,,,55,Marcio Luiz Alvino de Souza,Administrador,,
1607,178984,,Miguel Haddad,,,55,Miguel Moubadda Haddad,Advogado(a),,
1608,178985,,Miguel Lombardi,,,55,Miguel Lombardi,Corretor de Imóveis,,
1609,178986,,Nilto Tatto,,,55,Nilto Ignacio Tatto,Coordenador de Projetos,,
1610,178987,,Orlando Silva,,,55,Orlando Silva de Jesus Junior,Superior Incompleto,,
1611,178988,,João Paulo Papa,,,55,Joao Paulo Tavares Papa,"Engenheiro,professor(a)",,
1612,178989,,Renata Abreu,,,55,Renata Hellmeister de Abreu,Advogada,,
1613,178990,,,"Arquivo 7, p. 4",,,Samuel Moreira da Silva Junior,,,
1614,178991,,Sérgio Reis,,,55,Sergio Bavini,Cantor,,
1615,178992,,Vitor Lippi,,,55,Vitor Lippi,Médico(a),,
1616,178993,,Carlos Henrique Gaguim,,,55,Carlos Henrique Amorim,,,
1617,178994,,Dulce Miranda,,,55,Dulce Ferreira Pagani Miranda,,,
1618,178995,,Roberto Góes,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Antonio Roberto Rodrigues Góes da Silva,Administrador,,
1619,178996,,,"Arquivo 7, p. 4",,,Giovani Batista Feltes,,,
1620,178997,,Moses Rodrigues,,,55,Moses Haendel Melo Rodrigues,"Administrador,professor de Geografia,professor de História",,
1621,178998,,Raquel Muniz,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Tania Raquel de Queiroz Muniz,Médica,,
1622,178999,,Brunny,,,55,Bruniele Ferreira Gomes,,,
1623,179000,,Marcelo Álvaro Antônio,,,55,Marcelo Henrique Teixeira Dias,Empresário,,
1624,179924,,Márcio Marinho,,http://www.camara.gov.br/internet/deputado/bandep/150418.jpg,"53,54,55",Márcio Carlos Marinho,Radialista,,
1625,180306,,Ricardo Quirino,,http://www.camara.gov.br/internet/deputado/bandep/150634.jpg,53.54,Ricardo Quirino Dos Santos,Radialista e Pastor Evangélico,,
1626,180367,,Alessandro Sabino,,http://www.camara.gov.br/internet/deputado/bandep/150635.jpg,53,Marcio Alessandro Flexa de Oliveira,Empresário,,
1627,180545,,,"Arquivo 7, p. 4",,,Osmar Stuart Bertoldi,,,
1628,180549,,Eduardo Moura,,http://www.camara.gov.br/internet/deputado/bandep/150876.jpg,53,Eduardo Alves de Moura,Agropecuarista e Economista,,
1629,181053,,Laercio Oliveira,,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg,"53,54,55",Laercio José de Oliveira,Administrador de Empresas,,
1630,181067,,Ronaldo Leite,,http://www.camara.gov.br/internet/deputado/bandep/151214.jpg,53,Ronaldo de Brito Leite,Tabelião e Piscicultor,,
1631,181225,,José Edmar,,http://www.camara.gov.br/internet/deputado/bandep/151249.jpg,53,José Edmar de Castro Cordeiro,Comerciante,,
1632,181315,,Marquinho Mendes,,,55,Marcos da Rocha Mendes,,,
1633,181316,,Elizeu Dionizio,,,55,Elizeu Dionizio Souza da Silva,,,
1634,182632,,Maia Filho,,http://www.camara.gov.br/internet/deputado/bandep/151965.jpg,53.55,José de Andrade Maia Filho,Empresário,,
1635,184244,,Zé Vieira,,http://www.camara.gov.br/internet/deputado/bandep/152607.jpg,53.54,José Vieira Lins,Pecuarista e Empresário,,
1636,184245,,Roberto Alves,,http://www.camara.gov.br/internet/deputado/bandep/152610.jpg,53.55,Benedito Roberto Alves Ferreira,Gestor Público,,
1637,184246,,Glauber Braga,,http://www.camara.gov.br/internet/deputado/bandep/152605.jpg,"53,54,55",Glauber de Medeiros Braga,Bacharel em Direito,,
1638,184247,,Fernando Nascimento,,http://www.camara.gov.br/internet/deputado/bandep/152608.jpg,53,Fernando Antônio do Nascimento,Professor e Gráfico,,
1639,184249,,Elizeu Aguiar,,http://www.camara.gov.br/internet/deputado/bandep/152609.jpg,53,Elizeu Morais de Aguiar,Empresário,,
1640,184250,,Capitão Assumção,,http://www.camara.gov.br/internet/deputado/bandep/152606.jpg,53,Lucínio Castelo de Assumção,Superior,,
1641,184251,,Antonio Carlos Chamariz,,http://www.camara.gov.br/internet/deputado/bandep/152611.jpg,53,Antonio Carlos Ramos,Comerciante,,
1642,184344,,Rodrigo Bethlem,,http://www.camara.gov.br/internet/deputado/bandep/152865.jpg,53.54,Rodrigo Bethlem Fernandes,,,
1643,184887,,Emilia Fernandes,,http://www.camara.gov.br/internet/deputado/bandep/153384.jpg,53,Emília Therezinha Xavier Fernandes,Professora,,
